id,class
14084,17
22997,16
13129,7
19895,17
11520,19
22681,14
22768,6
23059,6
17745,7
22469,6
12211,14
11996,19
19512,1
20426,17
19071,12
23998,11
14469,14
15799,20
17813,6
12105,6
10854,16
18828,14
11985,20
22592,11
17560,9
23594,2
16748,17
13434,18
13751,17
13361,5
12020,10
22111,16
23876,20
13845,19
15650,5
17570,18
20309,5
19320,8
21834,12
10958,2
12669,12
22685,8
16072,12
22036,6
18102,19
10177,13
21080,2
14706,12
17207,17
12520,1
23409,1
18773,6
10152,3
13733,8
12004,1
17593,12
16396,11
12452,14
22051,3
16282,18
12306,15
19225,19
21764,13
19802,17
16646,5
16123,18
20520,9
20081,6
14831,1
19348,16
12499,12
10104,6
10008,13
20331,17
18785,6
15748,17
10538,6
15751,16
15347,18
11450,1
19050,7
19110,11
19138,15
20348,12
15888,19
23840,13
10908,13
14825,14
10772,6
15021,5
16126,1
23399,7
10105,16
22581,15
17763,17
15162,17
13600,2
11359,15
18006,17
19854,7
18292,10
22790,13
13007,2
12830,5
19841,12
11786,16
11459,12
17586,3
20174,17
19501,17
17274,17
11680,3
11927,2
22270,6
11657,4
16731,3
15258,6
12234,13
19158,4
17757,2
12483,18
15897,19
12650,8
22086,2
21302,19
14308,8
23569,3
13956,13
11226,14
16513,9
16381,10
18426,8
14436,3
11775,17
20346,17
14342,6
12388,3
15066,11
20240,4
15119,14
20722,19
18060,13
20531,3
12188,1
14771,17
18213,19
17380,9
12642,18
15145,13
11643,4
20621,19
19686,2
23195,1
13001,9
18632,16
14370,14
10261,8
15175,7
15577,16
12795,2
13157,11
20523,8
16745,17
10744,19
10814,2
11236,14
12744,16
23891,18
12829,17
23655,1
20646,20
15686,2
20233,6
19600,19
10060,18
11122,19
14172,3
13099,11
22492,17
21361,14
13284,13
21644,14
21803,15
11465,8
16461,11
14513,4
18669,1
20463,10
23307,3
22285,13
21257,7
11779,14
15396,17
21533,3
13223,9
19499,9
23279,7
21148,12
16224,13
23444,20
12064,18
22299,5
13708,7
23261,3
19584,3
17899,9
13985,16
13969,7
11500,13
13970,6
22355,18
15829,10
18442,9
14400,13
16728,1
15433,10
16377,6
21626,14
13459,11
23349,8
19314,17
15811,20
21851,5
22822,2
10305,15
14655,4
11284,12
19242,13
18711,6
18472,9
23969,6
15962,14
12417,7
14859,7
10761,17
17801,10
17979,13
12329,16
14214,9
23767,13
11634,7
17265,1
21855,14
22889,17
16800,8
19509,5
12531,9
10182,12
11311,9
17082,11
14855,14
15413,1
15574,1
17621,13
10237,10
13976,15
21911,4
15369,2
23462,15
13596,18
16795,5
19338,19
14921,20
21126,12
19742,16
16369,17
22982,19
21796,1
11739,8
13725,3
20216,17
12722,12
20954,14
11210,20
14652,12
10500,6
17707,17
12348,17
16933,17
22026,16
20742,19
21718,2
16729,4
18945,19
16934,4
15756,6
20741,19
15019,1
16791,11
11203,5
10420,13
12973,5
11397,3
16340,19
21753,1
17441,2
18546,15
22330,4
13258,6
22734,9
10670,14
14685,1
15140,6
12280,7
10157,17
11965,8
19634,6
20997,13
14241,15
23752,6
18742,1
16512,6
13667,4
15578,11
23465,9
22351,19
11376,4
13448,1
21264,7
14454,17
12788,14
21747,10
11015,6
17783,10
13319,1
18824,16
20368,1
22591,12
15002,16
22388,1
11388,6
15995,5
17820,18
18831,1
15834,3
11764,2
17206,6
17875,4
11792,20
21346,7
12925,18
14536,10
10384,2
16302,13
22824,17
17310,8
20268,14
16966,14
21259,20
13991,5
13243,12
16869,11
14933,19
15670,7
13435,9
22169,4
19478,7
21981,19
10552,4
19717,3
21192,19
18306,10
12810,18
21906,17
23350,12
23911,5
13145,20
11206,8
10819,18
14540,1
18758,14
18620,3
16456,16
13874,13
10232,12
14843,20
22675,2
15005,5
19105,20
15929,7
16570,6
23174,14
19684,2
22453,5
10896,20
13074,8
18297,11
21775,3
23707,1
23622,8
20670,20
11322,12
23477,2
12464,16
15586,9
18163,6
17901,2
10962,4
14973,11
14283,14
12929,11
10779,12
16152,6
21679,14
13010,18
18160,5
23512,8
21234,2
10468,20
12380,20
15481,7
16719,16
19421,13
18322,18
21156,17
19785,14
12190,12
15209,6
21881,18
11382,17
18680,12
23114,11
14009,10
10798,11
14474,11
19013,6
18474,9
17830,15
11688,17
12960,17
14077,17
16215,17
13891,5
23915,14
23776,16
12729,9
20705,6
16289,10
21986,19
22190,12
19077,10
14781,20
22672,3
12532,13
11016,5
23514,17
12646,6
16335,20
19505,1
19299,5
16769,4
15243,2
10979,5
12054,14
18436,8
16817,7
21985,12
18911,19
14982,4
13905,9
15870,5
21530,18
11392,16
19645,8
18635,16
20763,17
18579,16
17635,1
11517,13
21189,11
12790,11
23189,4
15464,17
20389,1
22921,5
22337,19
16255,7
16384,14
21593,17
15803,10
18718,6
17982,4
13946,6
23837,5
15660,20
18126,12
21439,6
21961,1
10304,16
11693,14
20083,13
20443,12
23637,19
22948,4
14171,9
22605,6
13011,16
16225,2
19532,14
19247,14
21668,7
23628,7
14659,2
17978,15
20575,2
13339,16
17582,10
14738,14
23276,1
16605,6
12815,10
14155,6
21111,12
16279,5
19576,20
15456,5
21623,12
22195,17
19739,6
11613,2
14847,14
15528,15
18551,18
21852,9
20134,17
21793,14
20714,5
15387,6
22327,15
12035,1
18358,7
23143,15
10725,17
12160,6
15827,2
19394,7
20623,17
22076,17
19502,17
13748,19
11302,4
14050,9
22125,18
17196,17
10584,3
18308,12
14753,15
14852,7
13106,7
17873,19
16670,18
15674,6
23418,9
11051,12
17697,16
13143,4
20888,15
19605,9
18851,15
12665,18
22403,4
14081,9
13943,17
22120,6
20518,1
12762,10
20620,6
15895,3
11197,7
22524,7
13045,20
22950,15
11464,5
10679,13
17288,15
10097,6
21769,7
14282,10
23916,8
23429,9
21300,4
16947,14
14255,8
16952,2
16182,4
13068,17
10462,18
15958,2
21180,17
14812,6
18545,20
13865,11
10241,12
12773,4
19839,17
21564,4
14529,4
22385,2
12948,18
22061,10
20866,13
23663,17
14512,2
19545,9
20499,5
17049,1
21137,13
17691,2
19533,19
19525,4
22916,9
18392,17
22262,6
21132,15
18331,12
22047,11
16634,3
17045,8
20296,14
17388,18
20803,14
11457,3
18305,7
23235,9
12731,18
23726,14
23937,9
14555,1
13480,13
22618,13
22235,10
10466,7
10970,8
21465,10
10556,18
19130,6
14279,13
10171,11
21457,4
17131,12
13618,6
10285,17
12161,17
20873,17
17539,20
21342,6
12812,7
13139,13
10521,16
18373,18
16985,9
22841,12
21347,20
23476,18
12507,4
15348,18
19178,11
11214,17
22374,13
22138,13
17490,11
21019,4
11522,20
19703,16
22356,19
16181,14
11903,11
21717,8
21202,6
17448,12
10613,13
20292,20
18903,3
17863,5
18481,7
17755,4
11875,15
12447,13
19762,18
19546,8
20087,9
17001,14
17819,6
17065,17
19655,6
14376,17
18424,5
10585,2
14890,11
22048,14
15816,17
18797,4
13123,4
19763,13
14732,17
23954,1
15202,17
21151,10
18309,7
23436,6
14111,15
17566,9
17947,1
10027,20
14359,12
12301,16
12401,13
20329,14
15738,18
10972,6
20269,1
22975,15
22149,19
20064,8
12495,20
12340,7
22260,11
13975,12
13259,14
19231,20
20656,6
20528,14
18601,2
17361,18
20667,2
23859,1
23087,17
19262,16
17524,5
19133,5
14486,13
12583,14
20916,18
15729,12
17677,17
17315,14
16144,12
13543,1
23922,3
10198,7
18195,15
21777,12
16977,17
12544,9
15732,16
21781,16
15712,10
20115,14
16944,13
10926,10
19648,7
16575,18
16171,17
21190,11
20915,16
13829,15
19991,2
19878,15
17675,7
20778,11
18334,11
18339,12
12610,13
15628,3
20561,6
22043,6
10564,8
16578,5
14759,12
21542,5
21595,6
14633,18
22871,16
23613,4
15917,9
10102,3
20762,17
14315,5
17587,15
16742,13
21833,8
18591,4
16050,1
16457,19
15181,7
22341,7
17246,9
20810,17
19688,17
11492,17
13013,17
20118,5
13934,3
18459,12
11578,3
16303,5
14707,10
14857,19
10655,10
12710,8
20353,11
21429,6
12764,6
17633,20
20946,11
23012,1
18239,10
14102,7
20943,8
21210,14
10485,7
15693,2
15393,19
16762,2
22985,15
16835,19
23792,4
21338,17
10842,19
22166,7
18890,17
13620,8
22205,10
17192,12
17607,15
12093,11
21722,2
10203,6
20196,13
16260,8
15904,5
10870,2
16307,6
16976,15
10957,5
10601,11
16981,18
10647,9
22890,17
19706,19
14312,7
14717,8
14208,14
12405,2
23623,10
16548,14
11124,14
21139,17
18690,17
17087,7
18431,8
18014,5
15920,15
20183,4
23657,8
12843,6
12473,16
17574,17
16074,16
18404,17
10629,13
19744,6
23718,3
19936,16
16434,7
21939,5
21765,8
22659,16
22810,9
17281,17
20136,3
18510,5
22103,6
17790,2
14209,13
22161,12
13794,2
10607,16
10476,10
18843,17
18565,2
15354,3
17772,3
16747,19
22945,6
12231,3
12454,13
13894,6
10032,5
20864,18
18182,7
15061,3
18386,7
22995,13
12553,18
17372,13
10414,3
23393,6
14770,17
21843,19
22318,2
15653,7
19125,19
21554,2
11372,13
10943,20
17158,1
13931,11
13486,13
20144,20
19419,5
12156,14
23315,10
14779,3
14004,13
15759,6
11080,20
13560,3
20673,17
15315,18
14939,17
14999,14
20449,17
16878,11
22223,17
18721,7
18817,18
16139,6
10784,18
16353,18
14271,6
23909,14
16898,12
23906,5
15152,2
20567,8
13971,14
18462,15
12725,19
12089,20
22812,7
14625,19
13659,4
15563,9
13669,11
15889,15
17323,5
17235,17
23847,1
22777,13
15321,8
16770,12
22785,12
23508,6
16900,9
11756,19
14014,5
21942,4
16820,16
18068,18
14450,14
16168,11
13022,17
12756,17
11944,1
15367,19
13473,9
18954,15
23424,19
10729,14
11039,7
12428,19
13827,6
19142,7
18929,16
14878,18
18374,8
19430,9
20898,20
21698,10
11551,6
17862,12
11887,3
18455,20
12632,17
22144,5
23088,18
19959,7
19266,14
16000,16
19221,20
11595,20
11550,3
13237,6
18657,6
14997,17
11684,18
18543,13
20637,2
17995,7
15540,15
14887,18
20715,9
17616,19
21321,11
16953,12
17917,6
16587,6
20914,10
13440,4
21018,7
12779,14
10151,11
23652,15
15968,9
11705,16
10147,1
10118,7
19486,12
16198,10
14567,1
16844,18
23126,20
21265,7
20454,19
11530,14
21081,19
17004,6
19837,2
14971,9
12618,17
20139,7
17369,9
23739,18
16490,11
11543,11
12114,17
17671,1
13272,12
22939,13
17195,10
22775,8
15126,11
23924,13
14173,5
19361,2
13349,9
17893,16
22350,17
11723,4
21304,12
18904,5
19618,19
22033,11
23329,8
11984,8
10068,2
12526,2
15924,1
17462,15
14244,17
20478,6
20366,10
17108,12
13743,3
23860,7
17896,15
16644,19
21873,3
23678,18
15764,14
15824,6
11240,4
10418,17
21990,18
11824,13
10099,2
15372,18
21827,17
20862,1
10570,14
10409,4
23600,16
16792,16
15549,5
21925,13
14608,8
21426,1
18019,5
12885,18
21691,14
17466,12
18886,12
15127,8
12132,3
15885,4
17185,17
15447,11
23319,19
15484,8
15545,14
12094,5
17048,3
11317,11
13973,9
15648,16
19168,19
13752,17
15149,10
10778,20
11820,10
17432,11
22562,7
10374,2
14987,19
13469,20
23841,10
12196,8
11188,13
22180,8
15335,18
10322,17
15805,13
18420,11
20168,12
10856,3
14952,2
21809,2
17984,17
18803,11
17664,5
19469,10
13584,11
22151,19
19054,1
13867,12
15471,8
10763,8
15357,14
16592,4
22247,1
18791,1
23497,20
13079,7
18142,17
15505,7
18818,14
20627,6
17425,13
22752,17
17005,8
10832,10
10494,1
22971,17
21385,1
23669,17
14673,16
18663,6
23890,3
21845,17
20739,1
17010,13
13307,7
15067,16
18288,1
11242,3
20019,12
19226,3
17732,17
11054,7
20376,16
19400,8
22010,11
14931,9
17871,12
11990,7
19027,17
13116,7
16974,6
13739,8
12751,11
14574,4
20045,19
23721,18
16391,14
20550,10
20264,5
18885,7
11947,12
10320,9
18130,18
22229,9
11913,14
20316,12
11401,1
19965,5
15975,16
12159,17
14669,13
14996,19
16018,9
10737,16
15635,17
12224,8
14646,17
22357,10
16047,11
17506,2
11615,17
16922,6
19045,19
11360,4
14984,11
20845,17
19774,13
19539,12
15187,7
12416,5
20765,17
11440,1
17354,9
14684,9
20968,17
10136,2
11545,6
17367,6
20654,8
17517,15
16518,13
13050,6
11821,6
10770,6
12365,4
16392,18
14232,9
16495,4
17132,7
15228,11
21222,20
14795,17
21502,17
14865,12
14193,2
14101,13
14146,17
17843,10
18804,6
10676,9
16732,4
18059,19
23426,5
10377,15
16267,13
17706,10
11716,19
11916,4
19012,13
12585,1
11059,6
20868,6
23626,4
16941,16
11357,16
20519,10
22380,5
21035,5
15353,3
20342,13
15089,6
11839,20
15172,10
18726,13
13051,15
16776,14
16515,17
22584,17
21487,17
12299,20
10821,19
10296,15
13251,6
10575,10
22943,14
12709,17
10859,17
12889,14
22690,17
20952,19
23364,8
22643,7
21017,19
15790,5
22422,20
15400,17
12967,16
14294,12
13825,18
14895,10
16828,17
12671,17
22040,17
18994,13
19531,16
22478,15
13235,1
22041,17
17749,5
14318,19
19693,17
17931,17
19997,12
11737,5
13035,10
14849,1
12206,6
16437,5
10838,7
19573,5
11298,1
19631,15
19715,13
14597,8
20991,16
14207,20
22751,1
10080,2
23759,20
19902,10
16760,4
13215,4
14340,17
16408,6
20603,1
10194,8
12984,14
21641,1
19223,9
21522,6
12448,8
17034,10
13912,9
10767,6
10156,6
16320,20
23706,2
15185,4
18997,2
23952,14
18582,5
20783,16
12877,16
19581,2
12289,20
23342,5
23893,6
15097,2
10273,18
11750,7
14410,6
14167,8
20149,10
11458,3
16275,13
12839,2
10364,17
10107,18
14012,14
19039,3
21954,6
11942,14
10840,1
18976,4
20213,6
19497,7
13803,11
16349,1
21314,7
19609,14
18480,5
17941,3
15463,17
13917,12
18370,2
11293,7
23744,13
16079,11
19622,15
18224,3
10426,1
20428,14
11766,20
18558,11
19860,18
14957,3
15408,9
13896,7
20324,19
23607,1
17676,15
12771,12
18892,13
15739,18
12749,19
13300,17
19838,17
22201,16
21061,19
23133,11
15293,17
22509,16
13433,9
11435,7
14949,3
15257,1
22766,11
22721,18
17370,8
18156,15
13602,16
21273,13
22976,18
22988,9
18375,12
14236,1
10621,1
14489,5
21964,3
10392,1
16036,13
16385,14
16466,8
23406,7
23211,4
12172,19
11617,11
11604,18
19202,6
22625,11
12641,7
19638,19
11066,3
10974,17
17484,4
20522,10
19028,6
14284,17
23649,20
19093,9
21621,7
17611,18
18947,20
21994,15
22502,18
20093,9
15524,17
14373,16
10472,11
17687,19
10750,20
12268,20
10148,5
10990,13
16315,12
10083,3
22128,15
19451,3
22696,11
19709,2
20270,2
12124,7
19479,15
21928,16
22377,9
11748,1
11223,9
17848,3
17269,6
22119,3
13718,9
10965,16
14054,1
17356,5
23317,16
16057,6
14147,15
13782,14
10668,6
19506,5
18414,5
13328,20
17273,14
18272,19
12573,1
19752,15
13257,13
20509,1
17992,17
16325,6
10717,1
18861,6
20831,17
17093,6
22767,20
17334,12
17919,17
17257,14
22750,3
22629,14
15105,5
21362,9
19834,3
18674,7
19295,8
11904,8
13432,5
21700,20
14575,2
17107,12
20476,3
18826,10
11335,16
21737,20
19230,18
23687,15
14008,15
21130,3
12823,8
23375,12
20992,17
13352,11
21577,12
17903,10
23703,6
23234,9
23448,1
14700,10
16544,5
21379,1
17730,5
23076,12
12981,17
20108,4
18191,4
14760,8
18876,14
13281,6
14066,18
12081,6
21720,5
13205,2
23563,2
22872,15
16015,15
13500,18
17573,8
14443,7
23843,7
21430,4
20452,17
23992,12
17980,18
10034,7
11921,18
14699,4
17516,6
23484,5
13646,15
20253,3
10519,13
