id,class
10001,9
10002,10
10004,5
10008,20
10009,13
10010,5
10011,3
10015,4
10023,5
10027,12
10032,16
10034,5
10035,4
10040,5
10041,17
10043,15
10044,13
10045,9
10048,7
10051,18
10057,19
10060,18
10061,12
10063,7
10068,16
10069,18
10073,14
10080,2
10083,16
10084,13
10089,11
10093,6
10095,10
10097,9
10099,2
10102,19
10104,6
10105,20
10107,3
10115,1
10116,5
10118,4
10123,19
10126,19
10127,1
10129,13
10130,20
10131,18
10134,10
10136,20
10137,17
10139,3
10141,7
10147,6
10148,3
10149,12
10151,16
10152,16
10156,8
10157,12
10158,15
10160,4
10162,17
10167,3
10171,9
10175,13
10177,20
10180,8
10182,4
10184,10
10190,14
10194,20
10195,16
10197,5
10198,12
10202,8
10203,5
10204,11
10209,18
10210,9
10223,17
10226,5
10232,17
10235,8
10236,11
10237,12
10241,13
10242,12
10244,5
10246,17
10247,17
10248,16
10250,11
10251,9
10256,11
10259,1
10260,10
10261,9
10263,13
10264,11
10265,5
10267,16
10269,17
10273,20
10276,8
10285,17
10287,13
10291,17
10296,16
10300,3
10301,17
10304,5
10305,15
10309,5
10310,5
10320,11
10322,12
10323,3
10324,20
10325,4
10329,9
10336,14
10337,18
10338,2
10341,3
10351,5
10352,16
10354,18
10357,17
10358,17
10359,11
10361,7
10364,12
10366,11
10369,2
10370,15
10374,20
10375,9
10377,11
10381,18
10382,5
10384,10
10389,10
10390,19
10392,9
10394,12
10402,18
10404,10
10406,13
10409,2
10410,15
10412,13
10414,11
10417,4
10418,14
10420,8
10423,15
10426,9
10427,7
10434,5
10435,16
10441,20
10452,12
10453,13
10461,13
10462,7
10466,13
10467,1
10468,19
10472,2
10476,19
10480,18
10484,12
10485,2
10488,12
10489,5
10493,10
10494,6
10497,20
10498,14
10500,6
10507,9
10511,9
10519,4
10521,8
10524,15
10526,6
10530,17
10535,10
10536,12
10538,6
10539,1
10552,5
10554,8
10556,18
10558,20
10560,13
10564,9
10566,20
10569,7
10570,17
10571,3
10575,13
10577,4
10583,20
10584,14
10585,4
10589,14
10592,10
10594,17
10595,13
10596,18
10601,5
10606,3
10607,18
10613,20
10615,18
10618,3
10621,9
10626,16
10628,15
10629,2
10633,5
10634,3
10638,5
10642,18
10643,19
10644,5
10646,12
10647,15
10653,17
10655,5
10656,11
10657,9
10666,15
10668,15
10669,16
10670,3
10671,7
10676,6
10679,19
10682,11
10684,12
10685,11
10686,19
10687,1
10688,11
10691,9
10693,1
10700,6
10704,3
10705,9
10707,5
10711,17
10716,2
10717,2
10718,1
10719,3
10725,12
10729,13
10730,18
10732,12
10736,17
10737,18
10738,3
10739,8
10744,14
10749,9
10750,11
10751,5
10753,3
10755,4
10756,20
10757,2
10759,1
10760,12
10761,13
10763,11
10767,8
10768,18
10770,6
10772,6
10774,10
10776,4
10777,4
10778,10
10779,20
10783,5
10784,18
10786,14
10795,2
10798,11
10803,4
10806,6
10807,2
10812,11
10814,20
10816,19
10819,11
10821,9
10825,20
10827,14
10832,17
10833,17
10837,10
10838,5
10839,13
10840,10
10842,12
10847,5
10852,11
10854,1
10856,10
10859,13
10861,12
10862,17
10863,4
10865,15
10866,18
10868,20
10870,3
10873,18
10874,3
10875,17
10881,13
10883,12
10885,10
10886,10
10887,13
10888,11
10890,11
10891,13
10892,2
10894,1
10896,20
10900,10
10905,20
10908,18
10910,18
10917,16
10920,10
10926,4
10938,7
10943,8
10946,20
10950,13
10952,4
10953,3
10957,16
10958,2
10959,10
10962,17
10965,7
10966,20
10967,2
10970,11
10972,15
10974,17
10979,7
10980,10
10986,15
10988,8
10989,13
10990,18
10996,18
10997,9
10999,10
11003,16
11006,6
11015,5
11016,1
11022,4
11023,6
11025,16
11030,5
11032,1
11037,18
11039,11
11048,11
11051,13
11052,10
11054,10
11055,6
11059,5
11061,16
11066,7
11069,10
11073,10
11075,13
11080,14
11085,17
11091,4
11096,5
11100,7
11101,10
11103,17
11104,17
11107,5
11108,8
11122,17
11124,4
11125,3
11126,5
11132,8
11134,4
11136,10
11141,20
11144,20
11145,3
11152,11
11154,20
11156,7
11159,18
11162,11
11165,10
11166,12
11170,5
11172,18
11175,2
11177,3
11179,11
11181,14
11187,18
11188,7
11189,3
11191,2
11197,15
11201,5
11203,20
11206,20
11207,18
11210,15
11214,20
11223,18
11225,2
11226,12
11228,7
11229,7
11233,5
11236,6
11237,17
11238,15
11240,4
11242,10
11246,14
11249,13
11251,5
11254,16
11263,16
11265,8
11269,18
11272,20
11274,2
11277,19
11281,8
11282,20
11284,10
11285,6
11286,12
11289,9
11291,2
11293,1
11294,6
11298,6
11302,20
11307,10
11311,15
11312,7
11315,8
11316,2
11317,5
11318,16
11322,12
11329,1
11330,7
11332,16
11333,15
11335,2
11337,15
11338,8
11342,1
11343,17
11352,10
11353,5
11354,17
11355,1
11357,11
11358,12
11359,1
11360,7
11361,10
11362,2
11365,13
11366,16
11367,5
11372,5
11374,4
11376,10
11381,8
11382,17
11388,6
11392,9
11393,14
11394,3
11397,18
11400,11
11401,18
11404,11
11411,3
11415,7
11416,1
11417,5
11418,12
11419,11
11424,17
11427,11
11430,3
11432,7
11435,8
11436,4
11439,14
11440,9
11442,10
11445,3
11447,6
11450,3
11452,5
11457,10
11458,20
11459,7
11462,8
11463,8
11464,1
11465,18
11470,9
11472,11
11474,2
11476,9
11482,2
11484,5
11491,3
11492,17
11494,14
11500,1
11504,4
11508,5
11512,19
11513,12
11517,20
11520,17
11522,12
11530,10
11533,9
11540,2
11543,11
11545,6
11546,20
11550,7
11551,9
11554,15
11556,6
11562,14
11566,12
11574,18
11575,5
11576,11
11578,4
11579,7
11591,13
11593,1
11594,5
11595,9
11597,11
11604,10
11606,5
11610,12
11612,17
11613,4
11614,13
11615,2
11617,14
11621,2
11624,7
11629,6
11634,8
11642,4
11643,19
11647,9
11650,2
11651,17
11657,2
11659,16
11667,5
11673,18
11675,17
11678,3
11680,13
11681,17
11683,18
11684,18
11685,9
11688,17
11691,6
11693,4
11694,6
11695,1
11697,13
11700,9
11704,3
11705,10
11712,12
11713,1
11716,14
11719,11
11723,17
11726,15
11732,11
11733,15
11737,20
11739,11
11748,2
11750,4
11756,19
11759,9
11764,6
11766,15
11767,16
11769,20
11775,17
11777,6
11778,9
11779,13
11783,18
11786,16
11787,7
11789,2
11792,7
11795,15
11796,4
11798,12
11820,15
11821,5
11823,2
11824,3
11834,18
11835,5
11839,1
11841,10
11842,20
11844,1
11846,18
11847,5
11849,17
11851,10
11852,17
11856,13
11857,17
11859,10
11860,4
11866,17
11867,20
11868,13
11872,1
11875,11
11883,5
11887,19
11888,11
11891,6
11895,5
11898,18
11903,10
11904,8
11912,2
11913,3
11916,13
11920,9
11921,13
11923,13
11924,5
11925,20
11926,2
11927,14
11935,2
11939,10
11941,4
11942,12
11944,11
11945,4
11946,18
11947,12
11948,4
11949,11
11950,7
11952,4
11953,15
11954,5
11961,17
11962,6
11963,4
11964,10
11965,20
11966,15
11971,11
11974,10
11982,9
11984,20
11985,1
11986,13
11987,12
11988,10
11990,2
11991,7
11992,15
11993,2
11996,7
11998,20
11999,11
12001,2
12002,5
12004,11
12008,20
12009,11
12011,12
12018,9
12020,3
12021,10
12024,16
12029,10
12030,15
12035,9
12038,13
12039,1
12049,4
12052,6
12053,10
12054,13
12058,4
12062,1
12064,3
12072,10
12074,3
12081,6
12082,16
12087,15
12089,5
12091,6
12093,16
12094,11
12095,8
12099,11
12100,10
12101,1
12102,17
12105,6
12106,12
12112,4
12114,12
12121,19
12124,14
12127,9
12129,9
12130,2
12132,7
12133,19
12149,17
12152,2
12156,14
12157,11
12158,20
12159,17
12160,6
12161,8
12166,5
12170,12
12171,9
12172,14
12175,16
12176,16
12179,4
12184,10
12188,5
12190,13
12196,11
12197,19
12198,20
12201,2
12203,12
12205,10
12206,10
12208,2
12209,19
12211,17
12215,10
12217,6
12218,4
12219,16
12224,11
12227,10
12231,4
12233,18
12234,2
12237,2
12240,8
12242,9
12243,7
12248,20
12251,5
12268,1
12280,3
12282,9
12286,7
12287,13
12289,9
12290,12
12294,7
12299,2
12301,20
12302,5
12306,16
12308,18
12311,3
12318,11
12323,6
12326,15
12329,16
12334,14
12336,6
12337,20
12339,9
12340,15
12342,4
12343,5
12344,11
12348,12
12359,17
12361,4
12362,4
12363,5
12365,20
12368,16
12374,13
12375,19
12377,11
12378,11
12380,16
12387,5
12388,13
12389,11
12390,8
12397,12
12398,18
12401,3
12404,1
12405,18
12408,2
12409,16
12410,14
12412,9
12413,9
12414,18
12416,10
12417,16
12420,13
12421,3
12428,3
12433,5
12440,11
12441,11
12444,18
12445,19
12447,2
12448,3
12450,12
12452,18
12454,14
12457,9
12461,7
12464,11
12465,20
12467,7
12469,17
12471,12
12472,5
12473,5
12475,10
12476,5
12479,10
12483,17
12487,19
12490,9
12493,1
12495,16
12496,11
12499,17
12504,13
12507,14
12510,17
12512,1
12513,4
12514,3
12520,9
12521,13
12526,3
12531,5
12532,2
12533,17
12537,1
12540,12
12543,13
12544,10
12549,3
12550,8
12553,5
12559,8
12560,10
12562,17
12565,14
12571,2
12573,5
12583,2
12585,7
12586,16
12594,17
12596,13
12598,20
12602,18
12606,12
12610,14
12615,18
12618,17
12621,18
12623,20
12624,1
12629,11
12631,3
12632,14
12640,12
12641,1
12642,7
12645,19
12646,15
12648,3
12650,7
12664,6
12665,2
12666,4
12669,20
12670,6
12671,4
12673,12
12675,10
12676,8
12677,17
12679,2
12680,13
12682,2
12686,12
12691,10
12696,11
12698,6
12703,7
12709,10
12710,16
12714,15
12717,12
12719,2
12720,4
12722,2
12725,8
12726,16
12729,9
12731,18
12733,19
12734,20
12736,11
12737,12
12738,17
12739,3
12743,8
12744,10
12746,1
12748,5
12749,11
12751,11
12752,3
12753,11
12754,16
12756,12
12762,20
12764,9
12765,5
12770,9
12771,5
12773,4
12779,13
12787,18
12788,8
12790,5
12791,8
12792,11
12795,8
12798,20
12800,5
12807,7
12809,9
12810,15
12812,6
12815,18
12816,12
12822,10
12823,16
12829,4
12830,6
12832,13
12833,11
12836,1
12837,10
12839,7
12843,6
12846,1
12847,10
12849,18
12853,2
12859,19
12861,13
12865,14
12866,19
12867,10
12869,16
12872,1
12873,8
12877,16
12878,2
12879,17
12882,20
12883,8
12885,7
12887,14
12888,15
12889,2
12890,20
12906,7
12907,5
12910,2
12914,17
12916,11
12917,6
12919,8
12920,7
12925,9
12929,3
12934,18
12938,18
12940,7
12941,2
12943,10
12944,10
12948,11
12950,11
12960,7
12962,11
12963,1
12964,11
12966,2
12967,9
12969,13
12970,5
12973,15
12975,15
12977,15
12981,12
12983,7
12984,10
12985,9
12994,1
13000,13
13001,5
13005,4
13006,6
13007,16
13008,3
13010,13
13011,16
13013,17
13014,17
13017,9
13022,17
13023,18
13032,19
13033,16
13034,10
13035,3
13036,18
13037,4
13045,6
13049,12
13050,6
13051,2
13058,3
13063,14
13065,5
13067,5
13068,17
13069,5
13072,5
13074,15
13075,3
13076,14
13079,12
13081,2
13090,1
13092,7
13096,6
13097,19
13099,7
13106,13
13108,9
13116,7
13117,13
13119,10
13123,5
13129,16
13136,3
13137,8
13138,6
13139,2
13143,12
13145,11
13146,10
13147,7
13149,13
13153,10
13154,16
13157,20
13160,5
13163,9
13168,17
13169,10
13171,11
13172,8
13176,17
13186,18
13190,18
13194,8
13196,2
13198,20
13200,9
13205,3
13209,1
13215,10
13217,15
13220,6
13223,9
13225,11
13226,17
13227,4
13228,4
13233,12
13235,15
13236,4
13237,5
13238,7
13243,13
13244,17
13251,5
