id,class
10001,13
10002,15
10004,5
10008,20
10009,13
10010,13
10011,9
10015,4
10023,5
10027,3
10032,16
10034,9
10035,10
10040,5
10041,17
10043,15
10044,13
10045,9
10048,7
10051,18
10057,17
10060,18
10061,12
10063,7
10068,16
10069,18
10073,14
10080,2
10083,16
10084,13
10089,11
10093,6
10095,4
10097,9
10099,4
10102,9
10104,6
10105,20
10107,9
10115,1
10116,5
10118,10
10123,19
10126,3
10127,1
10129,3
10130,18
10131,18
10134,10
10136,18
10137,17
10139,3
10141,7
10147,4
10148,13
10149,12
10151,16
10152,16
10156,8
10157,12
10158,10
10160,4
10162,17
10167,3
10171,9
10175,17
10177,20
10180,8
10182,4
10184,4
10190,8
10194,20
10195,16
10197,5
10198,12
10202,8
10203,5
10204,11
10209,18
10210,5
10223,17
10226,5
10232,17
10235,8
10236,11
10237,12
10241,17
10242,12
10244,5
10246,17
10247,17
10248,16
10250,11
10251,5
10256,11
10259,1
10260,2
10261,9
10263,13
10264,11
10265,5
10267,16
10269,17
10273,20
10276,8
10285,17
10287,5
10291,19
10296,16
10300,5
10301,17
10304,9
10305,2
10309,5
10310,5
10320,16
10322,12
10323,9
10324,11
10325,4
10329,9
10336,8
10337,10
10338,6
10341,9
10351,13
10352,16
10354,18
10357,17
10358,19
10359,11
10361,7
10364,12
10366,11
10369,10
10370,10
10374,7
10375,9
10377,11
10381,18
10382,8
10384,2
10389,10
10390,3
10392,3
10394,12
10402,18
10404,10
10406,19
10409,4
10410,2
10412,13
10414,16
10417,4
10418,8
10420,8
10423,2
10426,9
10427,7
10434,5
10435,16
10441,20
10452,12
10453,3
10461,13
10462,7
10466,3
10467,10
10468,19
10472,4
10476,3
10480,20
10484,12
10485,2
10488,12
10489,5
10493,4
10494,15
10497,18
10498,8
10500,1
10507,3
10511,9
10519,4
10521,14
10524,2
10526,4
10530,17
10535,2
10536,17
10538,15
10539,2
10552,5
10554,14
10556,18
10558,11
10560,13
10564,5
10566,18
10569,7
10570,19
10571,13
10575,5
10577,4
10583,20
