id,class
10001,9
10002,4
10004,5
10008,20
10009,13
10010,13
10011,13
10015,4
10023,5
10027,13
10032,16
10034,5
10035,15
10040,5
10041,17
10043,15
10044,13
10045,9
10048,10
10051,18
10057,17
10060,18
10061,12
10063,7
10068,16
10069,18
10073,14
10080,2
10083,16
10084,3
10089,16
10093,6
10095,10
10097,5
10099,4
10102,9
10104,6
10105,20
10107,19
10115,1
10116,5
10118,4
10123,3
10126,5
10127,1
10129,19
10130,18
10131,18
10134,10
10136,20
10137,17
10139,3
10141,7
10147,2
10148,5
10149,12
10151,16
10152,16
10156,8
10157,17
10158,10
10160,6
10162,19
10167,13
10171,9
10175,13
10177,20
10180,5
10182,4
10184,4
10190,14
10194,11
10195,16
10197,3
10198,12
10202,8
10203,5
10204,11
10209,18
10210,9
10223,17
10226,5
10232,17
10235,5
10236,11
10237,12
10241,13
10242,12
10244,8
10246,12
10247,17
10248,16
10250,11
10251,9
10256,11
10259,1
10260,10
10261,5
10263,13
10264,11
10265,5
10267,16
10269,19
10273,11
10276,8
10285,17
10287,13
10291,19
10296,16
10300,13
10301,17
10304,9
10305,2
10309,5
10310,5
10320,11
10322,12
10323,3
10324,11
10325,4
10329,19
10336,14
10337,18
10338,10
10341,9
10351,5
10352,16
10354,18
10357,17
10358,12
10359,11
10361,1
10364,12
10366,11
10369,10
10370,4
10374,7
10375,3
10377,11
10381,18
10382,8
10384,2
10389,2
10390,17
10392,9
10394,12
10402,20
10404,4
10406,13
10409,4
10410,10
10412,5
10414,16
10417,10
10418,8
10420,14
10423,10
10426,9
10427,15
10434,5
10435,16
10441,20
10452,12
10453,13
10461,13
10462,1
10466,3
10467,2
10468,13
10472,2
10476,19
10480,20
10484,12
10485,2
10488,12
10489,5
10493,2
10494,15
10497,20
10498,8
10500,1
10507,13
10511,9
10519,4
10521,8
10524,10
10526,4
10530,17
10535,10
10536,17
10538,15
10539,15
10552,13
10554,14
10556,18
10558,11
10560,13
10564,3
10566,18
10569,7
10570,19
10571,3
10575,5
10577,10
10583,20
10584,14
10585,4
10589,14
10592,20
10594,17
10595,19
10596,18
10601,5
10606,3
10607,18
10613,20
10615,10
10618,9
10621,9
10626,16
10628,7
10629,4
10633,5
10634,9
10638,5
10642,18
10643,19
10644,5
10646,13
10647,2
10653,17
10655,13
10656,11
10657,3
10666,6
10668,10
10669,16
10670,19
10671,7
10676,7
10679,3
10682,11
10684,12
10685,11
10686,17
10687,1
10688,11
10691,5
10693,7
10700,6
10704,3
10705,9
10707,5
10711,17
10716,4
10717,10
10718,1
10719,13
10725,12
10729,17
10730,18
10732,12
10736,17
10737,18
10738,9
10739,8
10744,14
10749,5
10750,11
10751,9
10753,3
10755,10
10756,18
10757,2
10759,1
10760,19
10761,3
10763,11
10767,8
10768,18
10770,6
10772,6
10774,2
10776,10
10777,4
10778,2
10779,20
10783,5
10784,18
10786,8
10795,15
10798,11
10803,10
10806,10
10807,4
10812,20
10814,2
10816,13
10819,11
10821,9
10825,18
10827,8
10832,19
10833,17
10837,2
10838,5
10839,8
10840,6
10842,12
10847,5
10852,11
10854,1
10856,10
10859,17
10861,12
10862,17
10863,4
10865,6
10866,18
10868,20
10870,13
10873,18
10874,17
10875,17
10881,19
10883,12
10885,4
10886,7
10887,13
10888,11
10890,11
10891,13
10892,7
10894,1
10896,10
10900,2
10905,20
10908,18
